City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Ajdabiya,LY,30.76,20.23,70.09,59,0,13.38,clear sky
114,Bambous Virieux,MU,-20.34,57.76,69.8,64,20,9.17,few clouds
115,Yacuiba,BO,-22.04,-63.68,85.35,21,0,8.16,clear sky
116,Sommerda,DE,51.15,11.1,59.0,82,40,18.34,scattered clouds
117,Peniche,PT,39.36,-9.38,66.0,90,100,7.0,overcast clouds
118,Yangambi,CD,0.81,24.43,71.85,94,99,0.43,overcast clouds
119,Santa Pola,ES,38.19,-0.57,64.99,93,0,2.95,light rain
120,Praia Da Vitoria,PT,38.73,-27.07,64.99,100,75,21.32,broken clouds
121,Olafsvik,IS,64.89,-23.71,37.56,78,96,12.66,overcast clouds
122,Punta Arenas,CL,-53.15,-70.92,51.8,76,75,17.22,broken clouds
123,Tiznit,MA,29.58,-9.5,72.79,28,0,0.85,clear sky
124,Korla,CN,41.76,86.15,40.73,64,0,3.47,clear sky
125,Riviere-Au-Renard,CA,49.0,-64.4,44.6,56,75,8.05,broken clouds
126,Pucallpa,PE,-8.38,-74.55,87.8,52,40,10.29,scattered clouds
127,Daule,EC,-1.86,-79.98,87.8,52,40,8.05,scattered clouds
128,Coihaique,CL,-45.58,-72.07,78.8,21,0,8.05,clear sky
129,Ancud,CL,-41.87,-73.82,69.01,59,38,8.05,smoke
130,Maldonado,UY,-34.67,-54.92,66.99,77,20,12.75,few clouds
131,Los Llanos De Aridane,ES,28.66,-17.92,78.8,26,0,6.93,clear sky
132,Tasiilaq,GL,65.61,-37.64,28.4,79,99,3.36,overcast clouds
133,Cape Town,ZA,-33.93,18.42,66.99,72,0,11.41,clear sky
134,Souillac,MU,-20.52,57.52,69.8,64,20,9.17,few clouds
135,Ambatondrazaka,MG,-17.83,48.42,59.61,86,31,3.65,scattered clouds
136,Usakos,NA,-22.0,15.6,70.29,22,11,5.28,few clouds
137,Waren,DE,53.52,12.68,57.0,89,100,14.41,overcast clouds
138,Sayat,TM,38.78,63.88,50.0,39,0,6.93,clear sky
139,Leku,ET,6.87,38.45,59.22,88,66,3.2,light rain
140,Beloha,MG,-25.17,45.05,67.3,78,0,14.92,clear sky
141,Haverfordwest,GB,51.8,-4.97,63.0,100,100,42.5,light rain
142,Taoudenni,ML,22.68,-3.98,85.01,14,100,10.11,overcast clouds
143,Bonavista,CA,48.65,-53.11,41.0,52,0,11.41,clear sky
144,Chapais,CA,49.78,-74.85,32.0,100,90,12.75,light snow
145,Ndola,ZM,-12.96,28.64,70.74,47,36,6.08,scattered clouds
146,Vardo,NO,70.37,31.11,39.2,86,75,28.86,broken clouds
147,Arraial Do Cabo,BR,-22.97,-42.03,73.4,69,75,12.75,broken clouds
148,Corinto,GR,37.94,22.96,63.0,58,10,1.99,clear sky
149,Butterworth,MY,5.4,100.36,80.01,88,20,3.36,few clouds
150,The Valley,AI,18.22,-63.06,86.0,66,20,18.34,few clouds
151,Yevlax,AZ,40.61,47.15,57.2,93,0,4.7,clear sky
152,Caxias,PT,38.7,-9.28,66.2,88,40,3.36,light rain
153,Comodoro Rivadavia,AR,-45.87,-67.5,78.8,39,0,4.7,clear sky
154,Santa Lucia,ES,27.91,-15.54,75.99,50,0,16.11,clear sky
155,Kamenka,RU,51.32,42.77,43.38,75,20,9.28,few clouds
156,Adrar,MR,20.5,-10.07,83.66,15,100,9.64,overcast clouds
157,Muhos,FI,64.81,25.99,44.6,81,90,10.29,overcast clouds
158,Rio De Janeiro,BR,-22.9,-43.21,68.0,82,90,6.93,overcast clouds
159,Upernavik,GL,72.79,-56.15,16.77,94,100,3.62,overcast clouds
160,Kattivakkam,IN,13.22,80.32,80.6,94,20,4.18,mist
161,Lebu,CL,-37.62,-73.65,58.15,79,7,8.19,clear sky
162,Xuddur,SO,4.12,43.89,75.04,81,94,11.25,moderate rain
163,Henties Bay,NA,-22.12,14.28,55.99,90,87,1.19,overcast clouds
164,Muli,MV,2.92,73.57,82.83,73,87,7.78,overcast clouds
165,Brae,GB,60.4,-1.35,48.2,70,95,12.75,light rain
166,Malpura,IN,26.28,75.38,64.51,23,0,3.98,clear sky
167,Dahod,IN,22.83,74.27,72.54,32,0,4.23,clear sky
168,Coquimbo,CL,-29.95,-71.34,59.0,72,20,13.87,few clouds
169,Molochnoye,RU,59.29,39.68,29.35,97,0,3.24,clear sky
170,Cayenne,GF,4.93,-52.33,82.4,78,82,8.05,light rain
171,Demba,CD,-5.51,22.27,67.86,98,27,1.61,scattered clouds
172,Nyagan,RU,62.14,65.39,27.55,97,0,7.34,clear sky
173,Faya,SA,18.39,42.45,64.4,82,0,3.94,clear sky
174,Paramonga,PE,-10.67,-77.83,68.18,66,28,10.13,scattered clouds
175,Palampur,IN,32.12,76.53,55.62,43,0,5.28,light rain
176,Yining,CN,29.04,114.56,57.04,84,100,1.79,overcast clouds
177,Quatre Cocos,MU,-20.21,57.76,69.8,64,20,9.17,few clouds
178,Portel,BR,-1.94,-50.82,95.97,34,100,5.19,overcast clouds
179,Odienne,CI,9.51,-7.57,78.49,44,0,0.65,clear sky
180,Havelock,US,34.88,-76.9,72.0,95,100,11.01,moderate rain
181,Raja Jang,PK,31.22,74.25,66.2,59,0,2.86,smoke
182,Port-Gentil,GA,-0.72,8.78,80.6,83,40,9.17,scattered clouds
183,Minsk,BY,53.9,27.57,42.8,81,75,6.71,broken clouds
184,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,75,13.87,broken clouds
185,Pangody,RU,65.85,74.49,30.7,97,92,21.56,overcast clouds
186,Ponta Pora,BR,-22.54,-55.73,84.2,37,40,11.41,scattered clouds
187,Awbari,LY,26.59,12.78,64.53,51,0,7.34,clear sky
188,Tromso,NO,69.65,18.96,41.0,72,40,16.11,scattered clouds
189,Leshukonskoye,RU,64.9,45.76,29.62,96,92,7.87,overcast clouds
190,Kataysk,RU,56.29,62.58,28.49,97,0,3.76,clear sky
191,Luderitz,NA,-26.65,15.16,67.28,47,81,13.06,broken clouds
192,Padang,ID,-0.95,100.35,78.69,72,100,2.59,overcast clouds
193,Nouadhibou,MR,20.93,-17.03,80.6,36,100,6.93,sand
194,Zelenoborskiy,RU,66.84,32.36,41.0,91,100,10.96,overcast clouds
195,Bayir,TR,37.27,28.22,62.6,33,0,8.05,clear sky
